Wavelength (nm)  Solar flux (mW/m^2/nm)
         0.5000  3.432854e-02
         1.5000  2.288429e-02
         2.5000  1.860032e-01
         3.5000  1.208729e-01
         4.5000  1.666151e-01
         5.5000  2.853037e-01
         6.5000  2.528136e-01
         7.5000  2.643868e-01
         8.5000  1.605082e-01
         9.5000  1.794556e-01
        10.5000  6.209422e-02
        11.5000  4.433244e-02
        12.5000  2.767183e-02
        13.5000  2.660285e-02
        14.5000  8.420016e-02
        15.5000  1.011754e-01
        16.5000  1.370641e-01
        17.5000  6.052923e-01
        18.5000  3.010494e-01
        19.5000  3.088976e-01
        20.5000  1.491918e-01
        21.5000  1.148669e-01
        22.5000  1.607069e-01
        23.5000  8.033560e-02
        24.5000  2.011139e-01
        25.5000  3.310450e-01
        26.5000  1.100617e-01
        27.5000  1.927848e-01
        28.5000  4.022896e-01
        29.5000  6.697303e-02
        30.5000  1.744628e+00
        31.5000  2.739403e-01
        32.5000  3.790097e-01
        33.5000  3.708188e-01
        34.5000  1.579536e-01
        35.5000  1.353828e-01
        36.5000  3.397955e-01
        37.5000  3.003201e-02
        38.5000  1.282934e-02
        39.5000  1.270438e-02
        40.5000  2.122717e-02
        41.5000  4.149411e-02
        42.5000  1.022485e-02
        43.5000  2.374680e-02
        44.5000  9.282900e-03
        45.5000  1.034827e-02
        46.5000  3.726965e-02
        47.5000  1.474423e-02
        48.5000  2.446094e-02
        49.5000  8.676269e-02
        50.5000  3.521828e-02
        51.5000  1.202403e-02
        52.5000  2.110702e-02
        53.5000  1.549743e-02
        54.5000  9.951810e-03
        55.5000  4.439508e-02
        56.5000  1.348493e-02
        57.5000  1.338448e-02
        58.5000  7.552856e-02
        59.5000  1.570270e-02
        60.5000  6.434728e-02
        61.5000  1.949327e-02
        62.5000  8.433169e-02
        63.5000  2.126728e-02
        64.5000  4.834260e-03
        65.5000  3.803334e-03
        66.5000  3.358849e-03
        67.5000  3.432747e-03
        68.5000  1.179724e-02
        69.5000  8.717943e-03
        70.5000  2.269190e-02
        71.5000  9.904213e-03
        72.5000  7.448882e-03
        73.5000  9.668477e-03
        74.5000  1.186945e-02
        75.5000  1.800414e-02
        76.5000  4.520859e-02
        77.5000  4.150335e-02
        78.5000  5.761390e-02
        79.5000  2.682488e-02
        80.5000  2.767614e-02
        81.5000  3.132893e-02
        82.5000  4.612685e-02
        83.5000  7.793523e-02
        84.5000  5.685288e-02
        85.5000  6.307076e-02
        86.5000  6.661044e-02
        87.5000  7.898387e-02
        88.5000  8.993139e-02
        89.5000  1.089712e-01
        90.5000  1.278494e-01
        91.5000  9.735414e-02
        92.5000  3.462773e-02
        93.5000  3.019221e-02
        94.5000  2.144779e-02
        95.5000  1.229619e-02
        96.5000  1.273789e-02
        97.5000  2.504410e-01
        98.5000  2.574702e-02
        99.5000  3.957505e-02
       100.5000  1.597103e-02
       101.5000  1.838765e-02
       102.5000  2.528296e-01
       103.5000  2.213613e-01
       104.5000  2.508962e-02
       105.5000  2.116290e-02
       106.5000  2.007089e-02
       107.5000  2.121952e-02
       108.5000  3.545847e-02
       109.5000  2.376922e-02
       110.5000  2.525006e-02
       111.5000  2.282559e-02
       112.5000  2.510978e-02
       113.5000  1.927514e-02
       114.5000  1.299255e-02
       115.5000  2.126545e-02
       116.5000  2.395186e-02
       117.5000  1.383883e-01
       118.5000  2.675608e-02
       119.5000  8.935847e-02
       119.7500  8.622612e-02
       119.8000  9.007903e-02
       119.8500  9.478311e-02
       119.9000  9.915391e-02
       119.9500  1.018500e-01
       120.0000  1.018151e-01
       120.0500  9.905073e-02
       120.1000  9.425246e-02
       120.1500  8.893554e-02
       120.2000  8.466133e-02
       120.2500  8.357337e-02
       120.3000  9.367728e-02
       120.3500  1.304270e-01
       120.4000  2.073582e-01
       120.4500  3.262601e-01
       120.5000  6.053644e-01
       120.5500  7.838046e-01
       120.6000  9.010826e-01
       120.6500  9.178366e-01
       120.7000  8.274054e-01
       120.7500  5.175572e-01
       120.8000  4.101602e-01
       120.8500  2.813750e-01
       120.9000  1.967741e-01
       120.9500  1.611698e-01
